,Sentiment,Open,High,Low,Close,Volume,year,month,quarter,weekno,pct_change_1w,pct_change_4w,pct_change_8w
2017-05-12,0.14590178586187816,1556.81005859375,1873.9300537109373,1542.5,1724.239990234375,6626996928,2017,5,2,19,10.85152491954715,47.6814441086653,56.71632484508078
2017-05-19,0.11093806794711522,1723.1199951171875,2004.52001953125,1651.0799560546875,1987.7099609375,5823746016,2017,5,2,20,15.280353790385748,62.6537278766609,112.0178683684359
2017-05-26,0.14386961509446167,1984.239990234375,2763.7099609375,1974.9200439453125,2202.419921875,11325726016,2017,5,2,21,10.801875784545167,67.296119542266,105.48986663483713
2017-06-02,0.10134834959393454,2196.27001953125,2488.550048828125,1855.8299560546875,2488.550048828125,9801255040,2017,6,2,22,12.991624535866531,59.98907884842279,111.44957066910482
2017-06-09,0.13828802291227846,2493.719970703125,2999.909912109375,2423.570068359375,2823.81005859375,10476819968,2017,6,2,23,13.472102356289817,63.771289065735616,141.85980472765505
2017-06-16,0.02696014731412843,2828.139892578125,2997.260009765625,2212.9599609375,2518.56005859375,13040030080,2017,6,2,24,-10.809863045534074,26.706617569390033,106.09303694303706
2017-06-23,-0.12093185555367245,2514.010009765625,2772.010009765625,2484.9599609375,2744.909912109375,9700038848,2017,6,2,25,8.987272419543114,24.631542098136027,108.50373365586718
2017-06-30,-0.11320715716906958,2738.52001953125,2757.93994140625,2332.989990234375,2480.840087890625,8291041984,2017,6,2,26,-9.620345755384763,-0.3098173951185168,59.4934048518605
2017-07-07,-0.16536834836006165,2492.60009765625,2916.139892578125,2394.840087890625,2518.659912109375,6154224000,2017,7,3,27,1.5244765030746787,-10.80632691833172,46.0736281709262
2017-07-14,0.0020506387766526563,2520.27001953125,2635.489990234375,2183.219970703125,2233.340087890625,6537828992,2017,7,3,28,-11.328239388214778,-11.324723813113236,12.357443076718999
2017-07-21,-0.08356616539614543,2230.1201171875,2900.699951171875,1843.030029296875,2667.760009765625,9874498112,2017,7,3,29,19.45157946299647,-2.810653347980474,21.128581487515063
2017-07-28,-0.023845647735291995,2668.6298828125,2897.449951171875,2450.800048828125,2809.010009765625,7683141952,2017,7,3,30,5.294704151907936,13.22817715969884,12.877376570682465
2017-08-04,-0.02977239972069151,2807.02001953125,2921.35009765625,2644.85009765625,2895.889892578125,6596800896,2017,8,3,31,3.092900435045043,14.97740836923156,2.5525737386271175
2017-08-11,0.2567319027961247,2897.6298828125,3679.719970703125,2874.830078125,3650.6201171875,11291030016,2017,8,3,32,26.062117435599763,63.46010788869538,44.94870212568372
2017-08-18,0.08749660094376324,3650.6298828125,4484.7001953125,3613.699951171875,4160.6201171875,18866929664,2017,8,3,33,13.970229265950373,55.959310506083696,51.5758349238572
2017-08-25,0.0929575535107632,4137.75,4455.7001953125,3674.580078125,4371.60009765625,17786259968,2017,8,3,34,5.070878247143806,55.62778638944768,76.21450568276147
2017-09-01,0.15002682460408634,4372.06005859375,4892.009765625,4224.64013671875,4892.009765625,13976339968,2017,9,3,35,11.904329223703636,68.92941192835853,94.23065980861016
2017-09-08,-0.05135862671193621,4901.419921875,4975.0400390625,3998.110107421875,4228.75,17058240128,2017,9,3,36,-13.558022109554447,15.836484330171864,89.34644226057064
2017-09-15,-0.18822679498365943,4229.81005859375,4344.64990234375,2946.6201171875,3637.52001953125,15570969984,2017,9,3,37,-13.98119965637008,-12.572647416074501,36.351096283612975
2017-09-22,0.11443643596302085,3637.75,4094.070068359375,3445.639892578125,3630.699951171875,10384880000,2017,9,3,38,-0.18749225633826194,-16.948031154121225,29.251940667694853
2017-09-29,-0.08589044712027724,3629.919921875,4279.31005859375,3594.580078125,4163.06982421875,8880329024,2017,9,3,39,14.663009342731371,-14.90062318616654,43.75787680630676
2017-10-06,-0.13842835732463263,4166.10986328125,4470.22998046875,4160.85986328125,4370.81005859375,8483890048,2017,10,4,40,4.990073266762596,3.359386546704113,19.72787960093467
2017-10-13,-0.0017813217612891552,4369.35009765625,5840.2998046875,4321.0498046875,5647.2099609375,13416048000,2017,10,4,41,29.20282247987722,55.24890394047177,35.73000663071606
2017-10-20,0.09116315192916767,5643.52978515625,6060.10986328125,5151.43994140625,6011.4501953125,14008949888,2017,10,4,42,6.449914858744377,65.57276217144283,37.51143885588768
2017-10-27,-0.13142028251607943,5996.7900390625,6194.8798828125,5397.8798828125,5780.89990234375,14961430016,2017,10,4,43,-3.8351859447912306,38.86146873427965,18.170244527408165
2017-11-03,0.19296027158393342,5787.81982421875,7461.2900390625,5689.18994140625,7207.759765625,19240440448,2017,11,4,44,24.682313954316328,64.90672596154867,70.44658032811115
2017-11-10,-0.19900117463806044,7164.47998046875,7776.419921875,6436.8701171875,6618.14013671875,23339150080,2017,11,4,45,-8.180345184619553,17.19309504157456,81.94099554595986
2017-11-17,-0.06552334378163018,6618.60986328125,8004.58984375,5519.009765625,7708.990234375,37302749952,2017,11,4,46,16.482728910558997,28.23844469985257,112.32793505524414
2017-11-24,-0.01625260074460317,7697.2099609375,8374.16015625,7463.43994140625,8253.6904296875,27499890176,2017,11,4,47,7.065778769359943,42.77518326067551,98.25971646383339
2017-12-01,0.21206331447679166,8241.7099609375,11517.400390625,8191.14990234375,10975.599609375,48482389504,2017,12,4,48,32.978086625312855,52.27477005711889,151.11133776667143
2017-12-08,-0.05632236226678374,10978.2998046875,18353.400390625,10862.0,16569.400390625,76517478400,2017,12,4,49,50.96578756819772,150.3633958836062,193.40861248718818
2017-12-15,0.03621892805407646,16523.30078125,18154.099609375,13226.599609375,17706.900390625,95166599168,2017,12,4,50,6.865064354673933,129.69156598056804,194.55289182021613
2017-12-22,-0.056309415558838824,17760.30078125,20089.0,11833.0,13831.7998046875,118653498368,2017,12,4,51,-21.88469184583649,67.58321532070349,139.2672427882668
2017-12-29,-0.02384423094541847,13948.7001953125,16930.900390625,12747.7001953125,14656.2001953125,86626899968,2017,12,4,52,5.96018162687415,33.53439189594389,103.33918820672059
2018-01-05,-0.11634623280593326,14681.900390625,17705.19921875,12350.099609375,17429.5,116222698496,2018,1,1,1,18.92236574098167,5.190891577836743,163.35948831451432
2018-01-12,-0.04133302483226165,17462.099609375,17712.400390625,13105.900390625,13980.599609375,116355100672,2018,1,1,2,-19.787718469405313,-21.04434259551664,81.35448592261014
2018-01-19,-0.05946458182772809,13952.400390625,14659.5,9402.2900390625,11607.400390625,100043699200,2018,1,1,3,-16.974945889721347,-16.081778549951732,40.632853745939165
